32 h,Airport Services,2425,66,45,2807,20,2697,-12,2722,2722,-12,29,2383,61,2031,2031,61,-18,1976,-18,9,2075,2075,9,27,2104,43,2273,5,2382,8,2599,-24,2511,-19,2431,-19,9,2709,2709,9,29,2640,2,2966,25,3040,-2,2933,-22,2942,-1,2957,8,3072,18,3407,39,3715,132,3462
9,Diversified2,6435,7,-108,6728,-55,7054,94,7466,7466,94,-38,6818,-112,6100,6100,-112,-46,4594,-46,5,5212,5212,5,-112,5552,10,5253,-32,5254,-197,5219,-263,5242,8,5414,8,21,5538,5538,21,22,5942,66,5876,30,6275,-24,6000,96,6248,76,6761,130,7733,73,8129,230,8451,38,8982
26,Realty,32420,7,136,34831,-106,35668,-56,34051,34051,-56,-229,30581,-208,25600,25600,-208,-28,19275,-28,39,19557,19557,39,-132,20337,-30,18849,68,19807,277,21882,-40,22394,-180,21273,-180,5,21845,21845,5,22,22714,329,25567,-149,25407,-128,24263,-62,23945,-72,26182,-284,27579,-149,29159,168,32457,185,35275
32 e,Shipping,1210,7,9,1335,-40,1190,-4,1118,1118,-4,21,968,-9,910,910,-9,0,811,0,0,773,773,0,1,912,-6,809,-10,770,-20,814,-12,820,9,841,9,-21,853,853,-21,-31,940,-9,911,-3,931,-6,841,-6,794,8,810,-9,841,9,904,11,1033,-2,972
20,Insurance,79201,802,120,79609,-41,78561,238,75287,75287,238,-52,72516,-203,63533,63533,-203,771,57078,771,-2,60088,60088,-2,-326,65313,-144,64015,24,66936,3790,69271,2300,76169,524,79908,524,288,85088,85088,288,269,81196,3,79269,-83,82096,-404,78507,-567,76903,219,77008,387,82719,342,86508,1882,89584,626,94315
,Grand Total,3076053,8761,405,3137216,11717,3078129,10426,3127357,3127357,10426,-8606,2886931,-24776,2526786,2526786,-24776,-37196,2117566,-37196,-2127,2204823,2204823,-2127,-4757,2423008,17363,2286754,-2794,2368500,23335,2485128,-1504,2598955,-4820,2664453,-4820,12383,2788693,2788693,12383,26147,2855983,20933,2935288,-453,3010031,-7330,2937489,8782,3027079,10759,3046643,29436,3345954,30921,3457463,41898,3647293,20118,3779025
6,Commercial Services & Supplies,9020,9,11,9375,-15,9438,13,9965,9904,13,-43,8591,-16,6637,6637,-16,38,5471,38,-96,5770,5770,-96,-121,5505,9,5660,-17,5861,-45,5889,5,6208,6,6113,6,21,6654,6654,21,-11,7573,-36,9382,-8,9694,-57,9766,19,10054,5,10965,35,11777,-23,12438,-50,14033,19,14398
14,General Industrials,14904,90,143,15726,57,15865,30,15851,15851,30,18,14578,-99,12569,12569,-99,-58,9441,-58,-58,9807,9807,-58,49,11062,32,10027,-26,10855,272,11576,-29,12043,106,12564,106,-12,13335,13335,-12,147,15204,64,15998,-153,16355,672,16629,-9,16294,48,16678,442,18201,153,19950,336,20202,99,22487
4,Chemicals & Petrochemicals,43152,92,-122,44375,-183,42797,-109,45671,45662,-109,43,42379,85,36074,36074,85,-308,30178,-308,-147,32913,32913,-147,-242,36390,-299,33465,-115,35099,160,35688,-121,36256,-188,37781,-188,-61,39467,39467,-61,-63,40612,361,42126,113,44851,-25,43146,185,42875,146,42919,841,44217,569,45012,952,48202,723,49955
33,Utilities3,86098,961,-269,89495,-622,86336,144,85191,85190,144,299,78404,-636,68379,68379,-636,-601,62130,-601,-708,65851,65851,-708,-216,68215,-347,65000,-629,65767,-1451,67173,-759,69099,-743,64440,-743,170,65913,65913,170,74,66491,240,68803,-273,67723,-139,63212,-399,61092,570,65218,682,71361,990,77075,697,83183,425,82502
2a,Banks,698344,982,-225,693720,-821,674617,-59,675462,674606,-87,-1404,638225,-7463,548765,548148,-7313,-6397,411179,-6397,1454,408631,408631,1454,-216,465367,-1134,406046,-2117,415061,8307,440181,-1305,475905,-2079,470682,-2079,670,480327,480327,670,7441,492200,1709,550692,132,525667,-380,505840,3442,547377,2601,576448,11519,694688,7645,729689,9559,757997,968,777131
Sr. No.,Sectors,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.
,,"AUC as on December 31, 2019","Net Investment December 16-31, 2019","Net Investment January 01-15, 2020","AUC as on January 15, 2020","Net Investment January 16-31, 2020","AUC as on January 31, 2020","Net Investment February 01-15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","Net Investment Februar 01-15, 2020","Net Investment February 16-29, 2020","AUC as on February 29, 2020","Net Investment March 01-15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","Net Investment March 01-15, 2020","Net Investment March 16-31, 2020","AUC as on March 31, 2020","Net Investment March 16-31, 2020","Net Investment April 01-15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","Net Investment April 01-15, 2020","Net Investment April 16-30, 2020","AUC as on April 30, 2020","Net Investment May 01-15, 2020","AUC as on May 15, 2020","Net Investment May 16-31, 2020","AUC as on May 31, 2020","Net Investment June 01-15, 2020","AUC as on June 15, 2020","Net Investment June 16-30, 2020","AUC as on June 30, 2020","Net Investment July 01-15, 2020","AUC as on July 15, 2020","Net Investment July 01-15, 2020","Net Investment July 16-31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","Net Investment July 16-31, 2020","Net Investment August 01-15, 2020","AUC as on August 15, 2020","Net Investment August 16-31, 2020","AUC as on August 31, 2020","Net Investment September 01-15, 2020","AUC as on September 15, 2020","Net Investment September 16-30, 2020","AUC as on September 30, 2020","Net Investment October 01-15, 2020","AUC as on October 15, 2020","Net Investment October 16-31, 2020","AUC as on October 31, 2020","Net Investment November 01-15, 2020","AUC as on November 15, 2020","Net Investment November 16-30, 2020","AUC as on November 30, 2020","Net Investment December 01-15, 2020","AUC as on December 15, 2020","Net Investment December 16-31, 2020","AUC as on December 31, 2020"
