"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"STI India Limited","29000000","21750000","    75.00","7250000","21750000","   100.00","    75.00","20-Nov-2020 11:30:07","87497","28513238","0.31"
"STL Global Limited","27452680","17986719","    65.52","9465961","6000000","    33.36","    21.86","20-Nov-2020 11:30:20","6264092","26990417","23.21"
"Sab Events & Governance Now Media Limited","10483711","3771214","    35.97","6712497","1528100","    40.52","    14.58","20-Nov-2020 11:30:31","3575828","10470295","34.15"
"Sadbhav Engineering Limited","171570800","80348025","    46.83","91222775","50884773","    63.33","    29.66","20-Nov-2020 11:30:19","53918634","171570330","31.43"
"Sadbhav Infrastructure Project Limited","352225216","247544474","    70.28","104680742","203010190","    82.01","    57.64","20-Nov-2020 11:30:30","200122735","352225213","56.82"
"Sagar Cements Limited","23500000","11788751","    50.16","11711249","0","     0.00","     0.00","20-Nov-2020 11:30:12","66810","23297579","0.29"
"Saksoft Limited","10475000","7781965","    74.29","2693035",,,,"20-Nov-2020 11:30:18","140211","10480594","1.34"
"Sakthi Sugars Limited","118849036","71113177","    59.83","47735859","10306900","    14.49","     8.67","20-Nov-2020 11:30:11","11779523","117520244","10.02"
"Sakuma Exports Limited","213259430","123836237","    58.07","89423193","5184380","     4.19","     2.43","20-Nov-2020 11:30:20","3454622","213254060","1.62"
"Sambhaav Media Limited","191110840","120265982","    62.93","70844858","0","     0.00","     0.00","20-Nov-2020 11:30:12","5068300","186716690","2.71"
"Sanco Industries Limited","10284000","4061361","    39.49","6222639","0","     0.00","     0.00","20-Nov-2020 11:30:30","790270","10283999","7.68"
"Sangam (India) Limited","39421559","21682401","    55.00","17739158","0","     0.00","     0.00","20-Nov-2020 11:30:12","1365653","39297568","3.48"
"Sanghi Industries Limited","251000000","176530619","    70.33","74469381","162745625","    92.19","    64.84","20-Nov-2020 11:30:12","112301515","251000000","44.74"
"Sanghvi Forging and Engineering Limited","14892267","10080614","    67.69","4811653","6378487","    63.27","    42.83","20-Nov-2020 11:30:28","6476772","14892264","43.49"
"Sanghvi Movers Limited","43288000","20453127","    47.25","22834873","0","     0.00","     0.00","20-Nov-2020 11:30:14","1564560","28617960","5.47"
"Sanofi India Limited","23030622","13909587","    60.40","9121035","0","     0.00","     0.00","20-Nov-2020 11:30:07","182384","22912184","0.8"
"Sanwaria Consumer Limited","736100000","398260483","    54.10","337839517","0","     0.00","     0.00","20-Nov-2020 11:30:20","8389512","709751007","1.18"
"Sarda Energy & Minerals Limited","36049235","26134360","    72.50","9914875","0","     0.00","     0.00","20-Nov-2020 11:30:26","1013049","35763554","2.83"
"Saregama India Limited","17428012","10591759","    60.77","6836253","0","     0.00","     0.00","20-Nov-2020 11:30:13","436894","17346831","2.52"
"Sarla Performance Fibers Limited","83503000","45875650","    54.94","37627350","0","     0.00","     0.00","20-Nov-2020 11:30:22","1402717","82320340","1.7"
"Sasken Technologies Limited","15050871","6816107","    45.29","8234764","0","     0.00","     0.00","20-Nov-2020 11:30:19","289270","14873264","1.94"
"Sastasundar Ventures Limited","31810500","23675220","    74.43","8135280","0","     0.00","     0.00","20-Nov-2020 11:30:27","770860","31810443","2.42"
"Sathavahana Ispat Limited","50900000","20145336","    39.58","30754664","4537831","    22.53","     8.92","20-Nov-2020 11:30:06","5105847","49006091","10.42"
"Satia Industries Limited","100000000","51676390","    51.68","48323610","9022000","    17.46","     9.02","20-Nov-2020 11:30:31","967346","99221850","0.97"
"Satin Creditcare Network Limited","72020477","27923639","    38.77","44096838","1398401","     5.01","     1.94","20-Nov-2020 11:30:30","3274882","51873948","6.31"
"Savita Oil Technologies Limited","14071083","10096033","    71.75","3975050","0","     0.00","     0.00","20-Nov-2020 11:30:07","106640","13934607","0.77"
"Schaeffler India Limited","31260734","23172647","    74.13","8088087","0","     0.00","     0.00","20-Nov-2020 11:30:10","69353","31177335","0.22"
"Schneider Electric Infrastructure Limited","239104035","179328026","    75.00","59776009","0","     0.00","     0.00","20-Nov-2020 11:30:29","2698408","237222403","1.14"
"Seamec Limited","25425000","18297101","    71.96","7127899","0","     0.00","     0.00","20-Nov-2020 11:30:09","781275","25066256","3.12"
"Security and Intelligence Services (India) Limited","146774062","108182746","    73.71","38591316","220096","     0.20","     0.15","20-Nov-2020 11:30:31","404328","146665662","0.28"
"Selan Exploration Technology Limited","15200000","4573846","    30.09","10626154","0","     0.00","     0.00","20-Nov-2020 11:30:21","1102133","14820416","7.44"
"Sequent Scientific Limited","248370995","138768498","    55.87","109602497","0","     0.00","     0.00","20-Nov-2020 11:30:30","11154367","248333465","4.49"
"Seshasayee Paper and Boards Limited","63068140","26900020","    42.65","36168120","0","     0.00","     0.00","20-Nov-2020 11:30:02","3333389","49921945","6.68"
"Setco Automotive Limited","133767275","79122588","    59.15","54644687","76295811","    96.43","    57.04","20-Nov-2020 11:30:30","78240086","132065780","59.24"
"Setubandhan Infrastructure Limited","125678260","34458803","    27.42","91219457","0","     0.00","     0.00","20-Nov-2020 11:30:28","2072392","125678240","1.65"
"Seya Industries Limited","24600000","15675375","    63.72","8924625","0","     0.00","     0.00","20-Nov-2020 11:30:31","158525","23029950","0.69"
"Sezal Glass Limited","33550000","16948783","    50.52","16601217","4550000","    26.85","    13.56","20-Nov-2020 11:30:29","4698082","33237545","14.13"
"Shah Alloys Limited","19797540","10640991","    53.75","9156549","10590370","    99.52","    53.49","20-Nov-2020 11:30:18","11201187","19428208","57.65"
"Shakti Pumps (India) Limited","18380156","9964194","    54.21","8415962","0","     0.00","     0.00","20-Nov-2020 11:30:29","343521","18343548","1.87"
"Shalby Limited","108009770","86815904","    80.38","21193866","0","     0.00","     0.00","20-Nov-2020 11:30:31","4560080","107988017","4.22"
"Shalimar Paints Limited","54300259","28830828","    53.10","25469431","0","     0.00","     0.00","20-Nov-2020 11:30:06","1764553","54076824","3.26"
"Shanthi Gears Limited","76715853","54063189","    70.47","22652664","0","     0.00","     0.00","20-Nov-2020 11:30:09","376738","75879204","0.5"
"Sharda Cropchem Limited","90220495","67503833","    74.82","22716662","0","     0.00","     0.00","20-Nov-2020 11:30:30","131852","90220443","0.15"
"Sharon Bio-Medicine Limited","118935700","38685070","    32.53","80250630","0","     0.00","     0.00","20-Nov-2020 11:30:29",,,
"Shekhawati Poly-Yarn Limited","344700000","198171740","    57.49","146528260","56406929","    28.46","    16.36","20-Nov-2020 11:30:28","57997118","344696676","16.83"
"Shemaroo Entertainment Limited","27182239","17906920","    65.88","9275319","0","     0.00","     0.00","20-Nov-2020 11:30:30","687915","27131602","2.54"
"Shilpa Medicare Limited","81526898","43409715","    53.25","38117183","350000","     0.81","     0.43","20-Nov-2020 11:30:26","3201172","81180274","3.94"
"Shipping Corporation Of India Limited","465799010","296942977","    63.75","168856033","0","     0.00","     0.00","20-Nov-2020 11:30:03","20111819","465331441","4.32"
"Shirpur Gold Refinery Limited","29137202","12720703","    43.66","16416499","5000000","    39.31","    17.16","20-Nov-2020 11:30:15","6619051","29071490","22.77"
"Shivam Autotech Limited","100000000","74795950","    74.80","25204050","0","     0.00","     0.00","20-Nov-2020 11:30:21","1213402","98589620","1.23"
"Shoppers Stop Limited","87989928","56189674","    63.86","31800254","7077204","    12.60","     8.04","20-Nov-2020 11:30:18","8228770","87989706","9.35"
"Shree Ganesh Forgings Limited","12500474","7165340","    57.32","5335134","0","     0.00","     0.00","20-Nov-2020 11:30:23","2547048","11137152","22.87"
"Shree Pushkar Chemicals & Fertilisers Limited","30836407","20507428","    66.50","10328979","0","     0.00","     0.00","20-Nov-2020 11:30:30","538144","30836402","1.75"
"Shree Rama Multi-Tech Limited","63468005","26982301","    42.51","36485704","0","     0.00","     0.00","20-Nov-2020 11:30:14","945120","58362896","1.62"
"Shree Rama Newsprint Limited","147522032","110290547","    74.76","37231485","0","     0.00","     0.00","20-Nov-2020 11:30:21","3923318","144986287","2.71"
"Shree Renuka Sugars Limited","2128489773","1329875232","    62.48","798614541","553407341","    41.61","    26.00","20-Nov-2020 11:30:19","26118612","2124397083","1.23"
"Shrenik Limited","102000000","75013000","    73.54","26987000","10427649","    13.90","    10.22","20-Nov-2020 11:30:31","73160362","612000000","11.95"
"Shreyans Industries Limited","13824550","6985219","    50.53","6839331","0","     0.00","     0.00","20-Nov-2020 11:30:06","257085","13341672","1.93"
"Shreyas Shipping & Logistics Limited","21957533","15137495","    68.94","6820038","0","     0.00","     0.00","20-Nov-2020 11:30:10","480144","21664207","2.22"
"Shri Lakshmi Cotsyn Limited","28470645","11180839","    39.27","17289806","6990240","    62.52","    24.55","20-Nov-2020 11:30:24","9709001","26691065","36.38"
"Shriram City Union Finance Limited","66002922","22813084","    34.56","43189838","0","     0.00","     0.00","20-Nov-2020 11:30:18","241206","65876271","0.37"
"Shriram EPC Limited","971529018","279391356","    28.76","692137662","180146496","    64.48","    18.54","20-Nov-2020 11:30:24","181197534","971527757","18.65"
"Shriram Transport Finance Company Limited","253061513","67021853","    26.48","186039660","0","     0.00","     0.00","20-Nov-2020 11:30:12","852876","250634530","0.34"
"Shyam Century Ferrous Limited","222172990","121053155","    54.49","101119835","0","     0.00","     0.00","20-Nov-2020 11:30:30","809769","221649603","0.37"
"Shyam Telecom Limited","11270000","7455875","    66.16","3814125","0","     0.00","     0.00","20-Nov-2020 11:30:21","46981","11249354","0.42"
"Sicagen India Limited","39571684","16536392","    41.79","23035292","0","     0.00","     0.00","20-Nov-2020 11:30:25","745231","38303051","1.95"
"Sical Logistics Limited","58520264","22523601","    38.49","35996663","14135000","    62.76","    24.15","20-Nov-2020 11:30:14","16838978","57239535","29.42"
"Siemens Limited","356120255","267089913","    75.00","89030342","0","     0.00","     0.00","20-Nov-2020 11:30:07","1385412","354035546","0.39"
"Simbhaoli Sugars Limited","41279020","22015790","    53.33","19263230","6632498","    30.13","    16.07","20-Nov-2020 11:30:30","8411418","40744592","20.64"
"Simplex Infrastructures Limited","57142820","28472048","    49.83","28670772","0","     0.00","     0.00","20-Nov-2020 11:30:07","1772252","56690365","3.13"
"Simplex Projects Limited","12600378","7088791","    56.26","5511587","2124839","    29.97","    16.86","20-Nov-2020 11:30:23","2344829","12600243","18.61"
"Sintercom India Limited","24202822","15876822","    65.60","8326000","200000","     1.26","     0.83","20-Nov-2020 11:30:31","1889464","24202822","7.81"
"Sintex Industries Limited","594095088","27181127","     4.58","566913961","0","     0.00","     0.00","20-Nov-2020 11:30:14","27285136","591951527","4.61"
"Sintex Plastics Technology Limited","631028422","77714461","    12.32","553313961","15100000","    19.43","     2.39","20-Nov-2020 11:30:31","47675247","628507825","7.59"
"Sita Shree Food Products Limited","27834174","6370929","    22.89","21463245","6050516","    94.97","    21.74","20-Nov-2020 11:30:25","6324739","26681676","23.7"
"Siti Networks Limited","872053848","327332717","    37.54","544721131","274110352","    83.74","    31.43","20-Nov-2020 11:30:21","37445274","871717322","4.3"
"Siyaram Silk Mills Limited","46870080","31494343","    67.19","15375737","0","     0.00","     0.00","20-Nov-2020 11:30:09","759345","46071323","1.65"
"Smartlink Holdings Limited","13300000","9918473","    74.57","3381527","0","     0.00","     0.00","20-Nov-2020 11:30:15","142129","13288491","1.07"
"Snowman Logistics Limited","167087995","67254119","    40.25","99833876","0","     0.00","     0.00","20-Nov-2020 11:30:30","5821121","167087839","3.48"
"Sobha Limited","94845853","49307663","    51.99","45538190","10000000","    20.28","    10.54","20-Nov-2020 11:30:21","11243791","94845780","11.85"
"Solar Industries India Limited","90490055","66191271","    73.15","24298784","0","     0.00","     0.00","20-Nov-2020 11:30:20","514274","90490000","0.57"
"Solara Active Pharma Sciences Limited","35823267","15847370","    44.24","19975897","752000","     4.75","     2.10","20-Nov-2020 11:30:31","2849647","35883242","7.94"
"Soma Textiles & Industries Limited","33033000","21035017","    63.68","11997983","2500000","    11.88","     7.57","20-Nov-2020 11:30:12","2746298","32526554","8.44"
"Somany Ceramics Limited","42379426","23180875","    54.70","19198551","0","     0.00","     0.00","20-Nov-2020 11:30:07","747813","42098306","1.78"
"Sonata Software Limited","105159306","30874575","    29.36","74284731","0","     0.00","     0.00","20-Nov-2020 11:30:14","3844663","104348425","3.68"
"Southern Petrochemicals Industries Corporation  Limited","203640336","115437288","    56.69","88203048","0","     0.00","     0.00","20-Nov-2020 11:30:04","2152448","199766045","1.08"
"Speciality Restaurants Limited","46957657","24040057","    51.20","22917600","0","     0.00","     0.00","20-Nov-2020 11:30:29","975207","46957606","2.08"
"Spentex Industries Limited","89772035","37797226","    42.10","51974809","37797226","   100.00","    42.10","20-Nov-2020 11:30:12","38176984","88688162","43.05"
"Splendid Metal Products Limited","301010881","173304755","    57.57","127706126","173304748","   100.00","    57.57","20-Nov-2020 11:30:26","174201245","300355678","58"
"Sree Rayalaseema Hi-Strength Hypo Limited","17164821","10658385","    62.09","6506436","0","     0.00","     0.00","20-Nov-2020 11:30:23","116239","14600032","0.8"
"Sreeleathers Limited","25155012","16738824","    66.54","8416188","0","     0.00","     0.00","20-Nov-2020 11:30:30","1232629","25084093","4.91"
"Sri Adhikari Brothers Television Network Limited","34944500","7731845","    22.13","27212655","6565800","    84.92","    18.79","20-Nov-2020 11:30:24","12597641","34918075","36.08"
"Srikalahasthi Pipes Limited","46698407","22483513","    48.15","24214894","7004903","    31.16","    15.00","20-Nov-2020 11:30:07","9676208","46287198","20.9"
"Stampede Capital Limited","229011200","582071","     0.25","228429129","0","     0.00","     0.00","20-Nov-2020 11:30:30","13032203","228457140","5.7"
"Standard Industries Limited","64328941","12962042","    20.15","51366899","0","     0.00","     0.00","20-Nov-2020 11:30:17","2724491","37831835","7.2"
"Star Cement Limited","412428997","277032631","    67.17","135396366","0","     0.00","     0.00","20-Nov-2020 11:30:31","1873237","411574963","0.46"
"Star Paper Mills Limited","15608350","7050444","    45.17","8557906","3348858","    47.50","    21.46","20-Nov-2020 11:30:12","4114501","15512704","26.52"
"State Bank Of India","8924611534","5190324438","    58.16","3734287096",,,,"20-Nov-2020 11:30:04","49517049","8848328212","0.56"
"Steel Authority of India Limited","4130525289","3097878439","    75.00","1032646850","0","     0.00","     0.00","20-Nov-2020 11:30:08","55486850","4126732211","1.34"
"Steel Strips Wheels Limited","15589720","9797952","    62.85","5791768","4520833","    46.14","    29.00","20-Nov-2020 11:30:18","4701503","15373991","30.58"
"Stel Holdings Limited","18455405","10166086","    55.08","8289319","0","     0.00","     0.00","20-Nov-2020 11:30:28","237138","17650940","1.34"
"Sterling And Wilson Solar Limited","160360000","123826180","    77.22","36533820","59718766","    48.23","    37.24","20-Nov-2020 11:30:31","63368160","160360000","39.52"
"Sterling Biotech Limited","272170388","67059864","    24.64","205110524","41768693","    62.29","    15.35","20-Nov-2020 11:30:02","48194901","264321515","18.23"
"Sterling Tools Limited","36024211","23693030","    65.77","12331181","0","     0.00","     0.00","20-Nov-2020 11:30:12","128396","35923114","0.36"
"Sterlite Technologies Limited","395689453","216664221","    54.76","179025232","0","     0.00","     0.00","20-Nov-2020 11:30:15","15931901","392796659","4.06"
"Strides Pharma Science Limited","89625664","26610081","    29.69","63015583","9856712","    37.04","    11.00","20-Nov-2020 11:30:14","14558680","89500393","16.27"
"Subros Limited","65235750","24000000","    36.79","41235750","0","     0.00","     0.00","20-Nov-2020 11:30:07","763419","62368667","1.22"
"Sudarshan Chemical Industries Limited","69227250","29530529","    42.66","39696721","0","     0.00","     0.00","20-Nov-2020 11:30:11","2514909","67629405","3.72"
"Sujana Universal Industries Limited","168825972","44898335","    26.59","123927637","0","     0.00","     0.00","20-Nov-2020 11:30:24","2712085","167392686","1.62"
"Sumeet Industries Limited","103642389","22459291","    21.67","81183098","9493750","    42.27","     9.16","20-Nov-2020 11:30:28","7781102","101293735","7.68"
"Summit Securities Limited","10901781","8137866","    74.65","2763915","0","     0.00","     0.00","20-Nov-2020 11:30:28","80036","10809094","0.74"
"Sun Pharma Advanced Research Company Limited","262047506","179407230","    68.46","82640276","3400000","     1.90","     1.30","20-Nov-2020 11:30:23","19583628","261295665","7.49"
"Sun Pharmaceutical Industries Limited","2399334970","1312134535","    54.69","1087200435","119281942","     9.09","     4.97","20-Nov-2020 11:30:06","190807184","2391323066","7.98"
"Sun TV Network Limited","394084620","295563457","    75.00","98521163","464000","     0.16","     0.12","20-Nov-2020 11:30:20","3744085","394084172","0.95"
"Sundaram Brake Linings Limited","3934575","2578784","    65.54","1355791","0","     0.00","     0.00","20-Nov-2020 11:30:12","42472","3846263","1.1"
"Sundaram Clayton Limited","20232085","15174060","    75.00","5058025","0","     0.00","     0.00","20-Nov-2020 11:30:29","110197","20125474","0.55"
"Sundaram Finance Limited","111103860","40839679","    36.76","70264181","0","     0.00","     0.00","20-Nov-2020 11:30:04","1082946","107845112","1"
"Sundaram Multi Pap Limited","473877773","147139585","    31.05","326738188","3272000","     2.22","     0.69","20-Nov-2020 11:30:27","20111352","473059379","4.25"
"Sundram Fasteners Limited","210128370","104085280","    49.53","106043090","0","     0.00","     0.00","20-Nov-2020 11:30:02","1291854","207562103","0.62"
"Sunflag Iron And Steel Company Limited","180219448","92194826","    51.16","88024622","0","     0.00","     0.00","20-Nov-2020 11:30:07","3424846","111187747","3.08"
"Sunil Hitech Engineers Limited","461303200","155883560","    33.79","305419640","14996660","     9.62","     3.25","20-Nov-2020 11:30:19","4470346","426538130","1.05"
"Sunteck Realty Limited","146371879","98306095","    67.16","48065784","0","     0.00","     0.00","20-Nov-2020 11:30:26","2152008","146371869","1.47"
"Super Spinning Mills Limited","55000000","23371234","    42.49","31628766","0","     0.00","     0.00","20-Nov-2020 11:30:02","1078437","53898457","2"
"Superhouse Limited","11025000","6050874","    54.88","4974126","0","     0.00","     0.00","20-Nov-2020 11:30:30","101945","10003463","1.02"
"Suprajit Engineering Limited","139872473","62339220","    44.57","77533253","0","     0.00","     0.00","20-Nov-2020 11:30:18","1513457","135205699","1.12"
"Supreme Industries Limited","127026870","62053813","    48.85","64973057","0","     0.00","     0.00","20-Nov-2020 11:30:05","1452387","125652165","1.16"
"Supreme Infrastructure India Limited","25698372","8913074","    34.68","16785298","7565005","    84.88","    29.44","20-Nov-2020 11:30:24","8369981","25698361","32.57"
"Supreme Petrochem Limited","94020671","60133600","    63.96","33887071","0","     0.00","     0.00","20-Nov-2020 11:30:05","1328612","91935896","1.45"
"Surana Corporation Limited","24358734","12248026","    50.28","12110708","12216713","    99.74","    50.15","20-Nov-2020 11:30:25","12258630","20102568","60.98"
"Surana Telecom and Power Limited","135759963","101819241","    75.00","33940722","0","     0.00","     0.00","20-Nov-2020 11:30:16","514329","133080556","0.39"
"Surya Roshni Limited","54408974","34917194","    64.18","19491780","3101955","     8.88","     5.70","20-Nov-2020 11:30:11","5278726","54014980","9.77"
"Suryalakshmi Cotton Mills Limited","16672290","9326889","    55.94","7345401","1390665","    14.91","     8.34","20-Nov-2020 11:30:18","1508862","16598948","9.09"
"Sutlej Textiles and Industries Limited","163828620","104678660","    63.90","59149960","3000000","     2.87","     1.83","20-Nov-2020 11:30:21","6522416","162861790","4"
"Suven Life Sciences Limited","127282478","76370000","    60.00","50912478","0","     0.00","     0.00","20-Nov-2020 11:30:15","3012295","126859847","2.37"
"Suzlon Energy Limited","8225523053","1460861456","    17.76","6764661597","1293506832","    88.54","    15.73","20-Nov-2020 11:30:19","1444573339","8304003343","17.4"
"Swan Energy Limited","244257000","158500000","    64.89","85757000","25321385","    15.98","    10.37","20-Nov-2020 11:30:29","35556060","243264600","14.62"
"Swaraj Engines Limited","12134330","6331141","    52.18","5803189","0","     0.00","     0.00","20-Nov-2020 11:30:12","217363","12072798","1.8"
"Swelect Energy Systems Limited","15158760","8544318","    56.37","6614442","0","     0.00","     0.00","20-Nov-2020 11:30:20","188293","15083842","1.25"
"Symphony Limited","69957000","52467740","    75.00","17489260","0","     0.00","     0.00","20-Nov-2020 11:30:28","698954","69357550","1.01"
"Syncom Healthcare Limited","40000000","50200","     0.13","39949800","0","     0.00","     0.00","20-Nov-2020 11:30:26","3466042","39998880","8.67"
"T T Limited","21498050","12436679","    57.85","9061371","0","     0.00","     0.00","20-Nov-2020 11:30:22","71080","20227023","0.35"
"TATA CONSUMER PRODUCTS LIMITED","921551715","320028112","    34.73","601523603","8672150","     2.71","     0.94","20-Nov-2020 11:30:10","27203096","907794372","3"
"TCI Developers Limited","3729431","2790420","    74.82","939011","0","     0.00","     0.00","20-Nov-2020 11:30:28","9116","3691079","0.25"
"TCPL Packaging Limited","9100000","5071974","    55.74","4028026","0","     0.00","     0.00","20-Nov-2020 11:30:31","190583","8867244","2.15"
"TD Power Systems Limited","30933414","18504602","    59.82","12428812","0","     0.00","     0.00","20-Nov-2020 11:30:28","347781","30933412","1.12"
"TECIL Chemicals and Hydro Power Limited","18963700","9047582","    47.71","9916118","0","     0.00","     0.00","20-Nov-2020 11:30:07",,,
"TGB Banquets And Hotels Limited","29286400","9286835","    31.71","19999565","6197400","    66.73","    21.16","20-Nov-2020 11:30:23","6399437","29286395","21.85"
"TIL Limited","10030265","5646798","    56.30","4383467","0","     0.00","     0.00","20-Nov-2020 11:30:06","179990","9885609","1.82"
"TIPS Industries Limited","12968659","9771352","    75.35","3197307","0","     0.00","     0.00","20-Nov-2020 11:30:15","210727","12953051","1.63"
"TREJHARA SOLUTIONS LIMITED","11816298","3205611","    27.13","8610687","1454999","    45.39","    12.31","20-Nov-2020 11:30:31","1749034","11467894","15.25"
"TRF Limited","11004412","3755235","    34.12","7249177","0","     0.00","     0.00","20-Nov-2020 11:30:26","551727","10520096","5.24"
"TTK Prestige Limited","13861402","9759607","    70.41","4101795",,,,"20-Nov-2020 11:30:12","30467","13735926","0.22"
"TV Today Network Limited","59668615","34879096","    58.45","24789519","0","     0.00","     0.00","20-Nov-2020 11:30:16","1011967","59663217","1.7"
"TV Vision Limited","34944500","10383845","    29.72","24560655","6118000","    58.92","    17.51","20-Nov-2020 11:30:31","12285429","34899576","35.2"
"TV18 Broadcast Limited","1714360160","1035520105","    60.40","678840055","0","     0.00","     0.00","20-Nov-2020 11:30:22","128189226","1714128133","7.48"
"TVS Electronics Limited","18650318","11160093","    59.84","7490225","0","     0.00","     0.00","20-Nov-2020 11:30:16","396221","18257246","2.17"
"TVS Motor Company Limited","475087114","272682786","    57.40","202404328","0","     0.00","     0.00","20-Nov-2020 11:30:15","2814090","472103689","0.6"
"TVS Srichakra Limited","7657050","3473561","    45.36","4183489","0","     0.00","     0.00","20-Nov-2020 11:30:12","389778","7239516","5.38"
"Tainwala Chemical and Plastic (I) Limited","9363863","6279767","    67.06","3084096","0","     0.00","     0.00","20-Nov-2020 11:30:06","173092","8770486","1.97"
"Taj GVK Hotels & Resorts Limited","62701495","47018206","    74.99","15683289","0","     0.00","     0.00","20-Nov-2020 11:30:15","573475","62202777","0.92"
"Take Solutions Limited","147934000","79011371","    53.41","68922629","0","     0.00","     0.00","20-Nov-2020 11:30:23","4182585","147299946","2.84"
"Talbros Automotive Components Limited","12345630","7180037","    58.16","5165593","0","     0.00","     0.00","20-Nov-2020 11:30:21","156886","12143582","1.29"
"Talwalkars Better Value Fitness Limited","31004906","11933415","    38.49","19071491","8997000","    75.39","    29.02","20-Nov-2020 11:30:26","7989163","30998557","25.77"
"Talwalkars Healthclubs Limited","31004856","11537234","    37.21","19467622","9027000","    78.24","    29.11","20-Nov-2020 11:30:31","8032625","30991792","25.92"
"Tamil Nadu Newsprint & Papers Limited","69210600","24444900","    35.32","44765700",,,,"20-Nov-2020 11:30:12","4102965","68335596","6"
"Tamilnadu PetroProducts Limited","89971474","31078126","    34.54","58893348","0","     0.00","     0.00","20-Nov-2020 11:30:12","5597123","84047934","6.66"
"Tamilnadu Telecommunication Limited","45681000","29067700","    63.63","16613300","0","     0.00","     0.00","20-Nov-2020 11:30:10","37626","11181270","0.34"
"Tanla Platforms Limited","136036450","54305422","    39.92","81731028","0","     0.00","     0.00","20-Nov-2020 11:30:21","5264529","135790029","3.88"
"Tantia Constructions Limited","28742098","20947530","    72.88","7794568","11028498","    52.65","    38.37","20-Nov-2020 11:30:24","11124750","18810407","59.14"
"Tara Jewels Limited","24622850","2293618","     9.31","22329232","2243800","    97.83","     9.11","20-Nov-2020 11:30:29","2409151","24426076","9.86"
"Tarapur Transformers Limited","19500011","8703036","    44.63","10796975","8416460","    96.71","    43.16","20-Nov-2020 11:30:26","8484114","19499706","43.51"
"Tarmat Limited","13330707","5771551","    43.30","7559156","0","     0.00","     0.00","20-Nov-2020 11:30:23","361718","13330388","2.71"
"Tata Chemicals Limited","254756278","90355755","    35.47","164400523","0","     0.00","     0.00","20-Nov-2020 11:30:05","3924067","250217537","1.57"
"Tata Coffee Limited","186770370","107359820","    57.48","79410550","0","     0.00","     0.00","20-Nov-2020 11:30:10","5113340","183459510","2.79"
"Tata Communications Limited","285000000","213707378","    74.99","71292622","8325000","     3.90","     2.92","20-Nov-2020 11:30:07","11906109","284906643","4.18"
"Tata Consultancy Services Limited","3752384706","2703542000","    72.05","1048842706","79604930","     2.94","     2.12","20-Nov-2020 11:30:17","90501750","3751133118","2.41"
"Tata Elxsi Limited","62276440","27730264","    44.53","34546176","0","     0.00","     0.00","20-Nov-2020 11:30:06","2178962","60441176","3.61"
"Tata Investment Corporation Limited","50595296","37128947","    73.38","13466349","0","     0.00","     0.00","20-Nov-2020 11:30:11","457023","50274911","0.91"
"Tata Metaliks Limited","31577500","18957090","    60.03","12620410","0","     0.00","     0.00","20-Nov-2020 11:30:06","503854","30358886","1.66"
"Tata Motors Limited","3088973894","1309551138","    42.39","1779422756","51729000","     3.95","     1.67","20-Nov-2020 11:30:03","96424389","3069032986","3.14"
"Tata Motors Limited","508502896","36800118","     7.24","471702778","0","     0.00","     0.00","20-Nov-2020 11:30:25","33352568","508372596","6.56"
"Tata Power Company Limited","3195339547","1497257565","    46.86","1698081982","38771375","     2.59","     1.21","20-Nov-2020 11:30:07","72886220","3156557801","2.31"
"Tata Steel Bsl Limited","1093439768","794428986","    72.65","299010782","0","     0.00","     0.00","20-Nov-2020 11:30:05","51538046","1092845647","4.72"
"Tata Steel Limited","1204126999","414358657","    34.41","789768342","13980000","     3.37","     1.16","20-Nov-2020 11:30:04","29021997","1111588182","2.61"
"Tata Steel Long Products Limited","45100000","34237521","    75.91","10862479","0","     0.00","     0.00","20-Nov-2020 11:30:11","579014","44607127","1.3"
"Tata Teleservices (Maharashtra) Limited","1954927727","1453672327","    74.36","501255400","0","     0.00","     0.00","20-Nov-2020 11:30:15","14743060","1952227922","0.76"
"Tci Finance Limited","12872493","3182360","    24.72","9690133","0","     0.00","     0.00","20-Nov-2020 11:30:13","439127","11810673","3.72"
"Teamlease Services Limited","17096769","6859487","    40.12","10237282","84050","     1.23","     0.49","20-Nov-2020 11:30:30","112266","17095718","0.66"
"Tech Mahindra Limited","966598935","346291457","    35.83","620307478","0","     0.00","     0.00","20-Nov-2020 11:30:20","8015361","965220835","0.83"
"Techindia Nirman Limited","14326000","4860313","    33.93","9465687","0","     0.00","     0.00","20-Nov-2020 11:30:28","315178","13429911","2.35"
